|                  passKey                  |        option         |
| pass_lower_vaarg                          | -fgcse                |
| pass_lower_vaarg                          | -fgcse-las            |
| pass_lower_vaarg                          | -fgcse-lm             |
| pass_lower_vaarg                          | -finline-functions    |
| pass_lower_vaarg                          | -ftree-loop-vectorize |
| pass_vtable_verify                        | -fgcse                |
| pass_vtable_verify                        | -fgcse-las            |
| pass_vtable_verify                        | -fgcse-lm             |
| pass_vtable_verify                        | -finline-functions    |
| pass_vtable_verify                        | -ftree-loop-vectorize |
| pass_simduid_cleanup                      | -fgcse                |
| pass_simduid_cleanup                      | -fgcse-las            |
| pass_simduid_cleanup                      | -fgcse-lm             |
| pass_simduid_cleanup                      | -finline-functions    |
| pass_simduid_cleanup                      | -ftree-loop-vectorize |
| pass_tm_edges                             | -fgcse                |
| pass_tm_edges                             | -fgcse-las            |
| pass_tm_edges                             | -fgcse-lm             |
| pass_tm_edges                             | -finline-functions    |
| pass_tm_edges                             | -ftree-loop-vectorize |
| pass_tm_memopt                            | -fgcse                |
| pass_tm_memopt                            | -fgcse-las            |
| pass_tm_memopt                            | -fgcse-lm             |
| pass_tm_memopt                            | -finline-functions    |
| pass_tm_memopt                            | -ftree-loop-vectorize |
| pass_tm_mark                              | -fgcse                |
| pass_tm_mark                              | -fgcse-las            |
| pass_tm_mark                              | -fgcse-lm             |
| pass_tm_mark                              | -finline-functions    |
| pass_tm_mark                              | -ftree-loop-vectorize |
| pass_local_pure_const                     | -fgcse                |
| pass_local_pure_const                     | -fgcse-las            |
| pass_local_pure_const                     | -fgcse-lm             |
| pass_local_pure_const                     | -finline-functions    |
| pass_local_pure_const                     | -ftree-loop-vectorize |
| pass_uncprop                              | -fgcse                |
| pass_uncprop                              | -fgcse-las            |
| pass_uncprop                              | -fgcse-lm             |
| pass_uncprop                              | -finline-functions    |
| pass_uncprop                              | -ftree-loop-vectorize |
| pass_late_warn_uninitialized              | -fgcse                |
| pass_late_warn_uninitialized              | -fgcse-las            |
| pass_late_warn_uninitialized              | -fgcse-lm             |
| pass_late_warn_uninitialized              | -finline-functions    |
| pass_late_warn_uninitialized              | -ftree-loop-vectorize |
| pass_split_crit_edges                     | -fgcse                |
| pass_split_crit_edges                     | -fgcse-las            |
| pass_split_crit_edges                     | -fgcse-lm             |
| pass_split_crit_edges                     | -finline-functions    |
| pass_split_crit_edges                     | -ftree-loop-vectorize |
| pass_tsan                                 | -fgcse                |
| pass_tsan                                 | -fgcse-las            |
| pass_tsan                                 | -fgcse-lm             |
| pass_tsan                                 | -finline-functions    |
| pass_tsan                                 | -ftree-loop-vectorize |
| pass_dce                                  | -fgcse                |
