"-fkeep-static-functions","flag_keep_static_functions","x_flag_keep_static_functions"
"-flax-vector-conversions","flag_lax_vector_conversions","x_flag_lax_vector_conversions"
"-fleading-underscore","flag_leading_underscore","x_flag_leading_underscore"
"-flifetime-dse","flag_lifetime_dse","x_flag_lifetime_dse"
"-flimit-function-alignment","flag_limit_function_alignment","x_flag_limit_function_alignment"
"-flive-patching","flag_live_patching","x_flag_live_patching"
"-flive-range-shrinkage","flag_live_range_shrinkage","x_flag_live_range_shrinkage"
"-flocal-ivars","flag_local_ivars","x_flag_local_ivars"
"-floop-interchange","flag_loop_interchange","x_flag_loop_interchange"
"-floop-nest-optimize","flag_loop_nest_optimize","x_flag_loop_nest_optimize"
"-floop-parallelize-all","flag_loop_parallelize_all","x_flag_loop_parallelize_all"
"-flra-remat","flag_lra_remat","x_flag_lra_remat"
"-flto-report","flag_lto_report","x_flag_lto_report"
"-flto-report-wpa","flag_lto_report_wpa","x_flag_lto_report_wpa"
"-fmerge-constants","flag_merge_constants","x_flag_merge_constants"
"-fmerge-debug-strings","flag_merge_debug_strings","x_flag_merge_debug_strings"
"-fmodule-private","flag_module_private","x_flag_module_private"
"-fmoduleinfo","flag_moduleinfo","x_flag_moduleinfo"
"-fmodulo-sched","flag_modulo_sched","x_flag_modulo_sched"
"-fmodulo-sched-allow-regmoves","flag_modulo_sched_allow_regmoves","x_flag_modulo_sched_allow_regmoves"
"-fmove-loop-invariants","flag_move_loop_invariants","x_flag_move_loop_invariants"
"-fms-extensions","flag_ms_extensions","x_flag_ms_extensions"
"-fnew-inheriting-ctors","flag_new_inheriting_ctors","x_flag_new_inheriting_ctors"
"-fnext-runtime","flag_next_runtime","x_flag_next_runtime"
"-fnil-receivers","flag_nil_receivers","x_flag_nil_receivers"
"-fnon-call-exceptions","flag_non_call_exceptions","x_flag_non_call_exceptions"
"-fnothrow-opt","flag_nothrow_opt","x_flag_nothrow_opt"
"-fobjc-call-cxx-cdtors","flag_objc_call_cxx_cdtors","x_flag_objc_call_cxx_cdtors"
"-fobjc-direct-dispatch","flag_objc_direct_dispatch","x_flag_objc_direct_dispatch"
"-fobjc-exceptions","flag_objc_exceptions","x_flag_objc_exceptions"
"-fobjc-gc","flag_objc_gc","x_flag_objc_gc"
"-fobjc-nilcheck","flag_objc_nilcheck","x_flag_objc_nilcheck"
"-fobjc-sjlj-exceptions","flag_objc_sjlj_exceptions","x_flag_objc_sjlj_exceptions"
"-fomit-frame-pointer","flag_omit_frame_pointer","x_flag_omit_frame_pointer"
"-fopenacc","flag_openacc","x_flag_openacc"
"-fopenmp","flag_openmp","x_flag_openmp"
"-fopenmp-simd","flag_openmp_simd","x_flag_openmp_simd"
"-fopt-info","flag_opt_info","x_flag_opt_info"
"-foptimize-sibling-calls","flag_optimize_sibling_calls","x_flag_optimize_sibling_calls"
"-foptimize-strlen","flag_optimize_strlen","x_flag_optimize_strlen"
"-fpack-derived","flag_pack_derived","x_flag_pack_derived"
"-fpack-struct","flag_pack_struct","x_flag_pack_struct"
"-fpad-source","flag_pad_source","x_flag_pad_source"
"-fpartial-inlining","flag_partial_inlining","x_flag_partial_inlining"
